1,0,1
2,0,1
3,0,1
4,0,1
5,3,1
6,1,1
7,6,1
8,7,1
9,4,1
10,2,1
11,4,1
12,3,1
13,5,1
14,5,1
15,5,1
16,8,1
17,3,1
18,3,1
19,3,1
20,2,1
21,5,1
22,4,1
23,2,1
24,2,1
25,2,1
26,0,1
27,1,2
28,4,2
29,3,2
30,2,2
31,2,2
32,0,2
33,3,2
34,3,2
35,2,2
36,0,2
37,0,2
38,1,2
39,0,2
40,0,2
41,0,2
42,0,2
43,0,2
44,0,2
45,0,2
46,0,2
47,0,2
48,0,2
49,0,2
50,0,2
51,0,2
52,0,2
1,0,3
2,0,3
3,0,3
4,1,3
5,0,3
6,0,3
7,0,3
8,0,3
9,0,3
10,0,3
11,0,3
12,0,3
13,0,3
14,0,3
15,0,3
16,0,3
17,0,3
18,0,3
19,0,3
20,0,3
21,1,3
22,3,3
23,6,3
24,7,3
25,8,3
26,6,3
27,1,4
28,0,4
29,0,4
30,0,4
31,0,4
32,1,4
33,1,4
34,0,4
35,0,4
36,0,4
37,4,4
38,0,4
39,0,4
40,0,4
41,1,4
42,0,4
43,0,4
44,0,4
45,0,4
46,0,4
47,0,4
48,0,4
49,1,4
50,0,4
51,3,4
52,0,4
1,0,5
2,0,5
3,0,5
4,0,5
5,1,5
6,0,5
7,0,5
8,3,5
9,0,5
10,0,5
11,4,5
12,1,5
13,0,5
14,0,5
15,3,5
16,7,5
17,4,5
18,4,5
19,4,5
20,1,5
21,0,5
22,0,5
23,0,5
24,0,5
25,0,5
26,0,5
27,0,6
28,1,6
29,4,6
30,0,6
31,0,6
32,0,6
33,0,6
34,0,6
35,1,6
36,3,6
37,1,6
38,0,6
39,0,6
40,1,6
41,0,6
42,0,6
43,0,6
44,5,6
45,7,6
46,7,6
47,7,6
48,7,6
49,7,6
50,4,6
51,0,6
52,0,6
